now,messages,Hex_Code,Aircraft_Type,Flight_Number,Registration,t,Barometric_Altitude,Geometric_Altitude,Ground_Speed,track,geom_rate,squawk,emergency,category,nav_qnh,nav_altitude_mcp,nav_heading,nav_modes,Latitude,Longitude,nic,rc,seen_pos,version,nic_baro,nac_p,nac_v,sil,sil_type,gva,sda,alert,spi,mlat,tisb,messages,seen,rssi,baro_rate,true_heading,dbFlags,nav_altitude_fms,calc_track,mag_heading,ias,tas,mach,wd,ws,oat,tat,track_rate,roll,gpsOkBefore,gpsOkLat,gpsOkLon,rr_lat,rr_lon,lastPosition.lat,lastPosition.lon,lastPosition.nic,lastPosition.rc,lastPosition.seen_pos
1704067199.122,148041829,a02b40,adsb_icao,N11QH   ,N11QH,EC30,625,850.0,107.1,188.05,-320.0,1200,none,A7,1019.2,96.0,,,21.996398,-159.341125,8.0,186.0,0.006,2.0,1.0,9.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],['geom_rate'],4393581,0.0,-16.4,-576.0,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,a5dbcb,adsb_icao,HAL303  ,N477HA,B712,850,1125.0,130.0,0.88,-384.0,3641,none,A3,1020.0,1504.0,109.69,,21.917213,-159.335887,8.0,186.0,0.25,2.0,1.0,9.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],['geom_rate'],28736307,0.2,-15.0,-384.0,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,ae20ba,adsb_icao,RAIDR52 ,167985,C30J,1400,1700.0,172.7,166.61,192.0,1200,none,A3,,,,,21.970282,-159.309642,9.0,75.0,0.25,2.0,1.0,9.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],['baro_rate'],8335325,0.0,-4.3,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,a48ae7,adsb_icao,HAL459  ,N392HA,A332,24200,25675.0,430.0,269.6,,3734,none,A5,1012.8,36000.0,,,21.244812,-159.243978,8.0,186.0,0.006,2.0,1.0,9.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],28341871,0.0,-18.6,1152.0,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,ae6c19,tisb_icao,RAIDR51 ,170277,C30J,1300,1550.0,256.3,117.16,64.0,,,A3,1020.0,,90.7,"['autopilot', 'althold', 'lnav', 'tcas']",21.955399,-159.078685,0.0,0.0,0.467,2.0,1.0,0.0,0.0,0.0,perhour,2.0,2.0,0.0,0.0,[],"['callsign', 'altitude', 'gs', 'track', 'baro_rate', 'lat', 'lon', 'nic', 'rc', 'nac_p', 'nac_v', 'sil', 'sil_type']",3495285,0.5,-22.0,0.0,,1.0,1504.0,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,a46ad6,adsb_icao,HAL449  ,N384HA,A332,14200,15100.0,375.0,269.69,,3744,none,A5,1019.2,35008.0,,,21.258499,-158.505099,8.0,186.0,0.467,2.0,1.0,8.0,1.0,3.0,perhour,1.0,2.0,0.0,0.0,[],[],32993333,0.2,-21.0,1920.0,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,ad22a5,adsb_icao,N9454F  ,N9454F,C208,13525,14375.0,106.0,271.62,-320.0,1200,none,A1,,,,,21.5793,-158.157881,8.0,186.0,0.186,2.0,1.0,9.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],[],5560299,0.0,-16.0,,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,861f66,adsb_icao,,JA618J,B763,36025,,,,,,,A5,,,,,57.948924,-158.061493,0.0,0.0,0.14300000000000002,0.0,,8.0,,2.0,unknown,,,0.0,0.0,[],[],23795647,0.1,-49.5,,,,,275.0,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,ab00df,adsb_icao,N808PE  ,N808PE,C172,600,850.0,88.2,72.18,192.0,1200,none,A1,,,,,21.326981,-158.060602,8.0,186.0,0.006,2.0,1.0,9.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],['geom_rate'],22185356,0.0,-6.2,256.0,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,a2a184,adsb_icao,N269ME  ,N269ME,C172,25,175.0,53.1,250.2,-768.0,1200,none,A1,,,,,21.312871,-158.059743,8.0,186.0,0.006,2.0,1.0,9.0,2.0,3.0,perhour,2.0,2.0,0.0,0.0,[],['baro_rate'],26215628,0.0,-5.6,-640.0,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,a5e949,adsb_icao,HAL275  ,N480HA,B712,ground,,27.5,,,3637,none,A3,,,,,21.327442,-157.940114,8.0,186.0,0.25,2.0,,9.0,2.0,3.0,perhour,,2.0,0.0,0.0,[],[],32043250,0.2,-16.3,,73.12,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,a9067b,adsb_icao,UAL363  ,N68061,B764,ground,125.0,79.0,270.0,0.0,3613,none,A5,1018.4,3008.0,316.41,,21.306885,-157.930215,8.0,186.0,0.006,2.0,1.0,9.0,1.0,3.0,perhour,2.0,2.0,0.0,0.0,[],['geom_rate'],38372543,0.0,-9.7,0.0,270.0,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,~30050e,tisb_trackfile,,,,ground,,16.5,331.88,,,,,,,,,21.317013,-157.926369,0.0,0.0,39.073,,,0.0,,2.0,unknown,,,,,[],"['gs', 'track', 'lat', 'lon', 'nic', 'rc', 'nac_p', 'sil', 'sil_type']",586,39.1,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,~30039f,tisb_trackfile,,,,ground,,36.5,129.38,,,,,,,,,21.316326,-157.925695,0.0,0.0,53.12,,,0.0,,2.0,unknown,,,,,[],"['gs', 'track', 'lat', 'lon', 'nic', 'rc', 'nac_p', 'sil', 'sil_type']",633,53.1,-4.1,,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,~300173,tisb_trackfile,,,,ground,,1.9,,,,,,,,,,21.312893,-157.925146,0.0,0.0,24.71,,,0.0,,2.0,unknown,,,,,[],"['gs', 'lat', 'lon', 'nic', 'rc', 'nac_p', 'sil', 'sil_type']",799,24.7,-1.8,,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,ac07b8,adsb_icao,SWA1856 ,N8741L,B38M,ground,,0.0,315.0,,3675,none,A3,,,,,21.327816,-157.923011,8.0,186.0,0.887,2.0,,9.0,2.0,3.0,perhour,,2.0,0.0,0.0,[],[],56456849,0.9,-10.8,,92.81,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,~300198,tisb_trackfile,,,,ground,,0.0,,,,,,,,,,21.327724,-157.922911,0.0,0.0,2.848,,,0.0,,2.0,unknown,,,,,[],"['gs', 'lat', 'lon', 'nic', 'rc', 'nac_p', 'sil', 'sil_type']",1109,1.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,~300612,tisb_trackfile,,,,ground,,0.0,,,,,,,,,,21.320263,-157.922736,0.0,0.0,0.006,,,0.0,,2.0,unknown,,,,,[],"['gs', 'lat', 'lon', 'nic', 'rc', 'nac_p', 'sil', 'sil_type']",213639,0.0,-1.1,,,,,,,,,,,,,,,,,,,,,,,,,
1704067199.122,148041829,~30023a,tisb_trackfile,,,,ground,,1.9,,,,,,,,,,21.3074,-157.921538,0.0,0.0,27.685,,,0.0,,2.0,unknown,,,,,[],"['gs', 'lat', 'lon', 'nic', 'rc', 'nac_p', 'sil', 'sil_type']",34,27.7,-4.2,,,,,,,,,,,,,,,,,,,,,,,,,
